ds,y
2024-05-25,1278.59
2024-05-26,1259.67
2024-05-27,1269.95
2024-05-28,1436.0
2024-05-29,1466.78
2024-05-30,208.92
2024-05-31,1287.86
2024-06-01,1276.98
2024-06-02,1284.27
2024-06-03,1336.6
2024-06-04,1371.75
2024-06-05,1451.55
2024-06-06,1368.46
2024-06-07,1370.61
2024-06-08,1298.12
2024-06-09,1274.3
2024-06-10,1395.16
2024-06-11,1464.23
2024-06-12,1427.34
2024-06-13,1462.52
2024-06-14,1361.26
2024-06-15,1410.64
2024-06-16,1319.25
2024-06-17,1397.29
2024-06-18,1529.06
2024-06-19,1497.89
2024-06-20,1544.29
2024-06-21,1408.19
2024-06-22,1262.22
2024-06-23,1423.51
2024-06-24,1446.34
2024-06-25,1512.54
2024-06-26,1564.28
2024-06-27,1420.23
2024-06-28,1467.16
2024-06-29,1303.98
2024-06-30,1359.99
2024-07-01,1381.0
2024-07-02,1495.55
2024-07-03,1467.79
2024-07-04,1463.04
2024-07-05,1412.81
2024-07-06,1355.59
2024-07-07,1330.19
2024-07-08,1474.07
2024-07-09,1520.94
2024-07-10,1567.64
2024-07-11,1508.92
2024-07-12,1414.4
2024-07-13,1444.53
2024-07-14,1388.31
2024-07-15,1464.09
2024-07-16,1489.7
2024-07-17,1483.26
2024-07-18,1547.42
2024-07-19,1438.77
2024-07-20,1401.78
2024-07-21,1392.72
2024-07-22,1452.93
2024-07-23,1453.69
2024-07-24,1484.2
2024-07-25,1455.51
2024-07-26,1417.45
2024-07-27,1364.99
2024-07-28,1381.02
2024-07-29,1470.99
2024-07-30,1533.48
2024-07-31,1482.63
2024-08-01,1459.09
2024-08-02,1427.01
2024-08-03,1292.62
2024-08-04,1426.25
2024-08-05,1420.54
2024-08-06,1514.15
2024-08-07,1436.06
2024-08-08,4709.23
2024-08-09,1445.28
2024-08-10,1338.23
2024-08-11,1348.89
2024-08-12,1444.48
2024-08-13,1469.36
2024-08-14,1490.16
2024-08-15,1471.61
2024-08-16,1412.79
2024-08-17,1325.07
2024-08-18,1337.54
2024-08-19,1460.41
2024-08-20,1464.54
2024-08-21,1610.65
2024-08-22,1461.68
2024-08-23,1377.9
2024-08-24,1349.94
2024-08-25,1362.35
2024-08-26,1392.25
2024-08-27,1536.12
2024-08-28,1507.34
2024-08-29,1515.37
2024-08-30,1378.14
2024-08-31,1326.12
2024-09-01,1274.79
2024-09-02,1406.75
2024-09-03,1495.14
2024-09-04,1458.22
2024-09-05,1429.64
2024-09-06,1398.34
2024-09-07,1347.54
2024-09-08,1409.61
2024-09-09,1415.92
2024-09-10,1385.34
2024-09-11,1584.53
2024-09-12,1434.33
2024-09-13,1346.38
2024-09-14,1344.71
2024-09-15,1410.75
2024-09-16,1426.98
2024-09-17,1454.69
2024-09-18,1428.48
2024-09-19,1462.56
2024-09-20,1366.33
2024-09-21,1312.72
2024-09-22,1330.04
2024-09-23,1419.22
2024-09-24,1370.26
2024-09-25,1485.83
2024-09-26,1409.26
2024-09-27,1393.26
2024-09-28,1260.24
2024-09-29,1316.22
2024-09-30,1358.19
2024-10-01,1529.34
2024-10-02,1450.91
2024-10-03,1463.58
2024-10-04,1416.85
2024-10-05,1324.47
2024-10-06,1318.42
2024-10-07,1431.51
2024-10-08,1492.63
2024-10-09,1496.27
2024-10-10,1453.83
2024-10-11,1429.33
2024-10-12,1300.51
2024-10-13,1379.56
2024-10-14,1425.05
2024-10-15,1451.19
2024-10-16,1495.73
2024-10-17,1477.09
2024-10-18,1303.5
2024-10-19,1339.39
2024-10-20,1301.44
2024-10-21,1396.43
2024-10-22,1454.89
2024-10-23,1408.18
2024-10-24,1441.64
2024-10-25,1304.58
2024-10-26,1362.34
2024-10-27,197.61
2024-10-28,1428.52
2024-10-29,1397.95
2024-10-30,1486.07
2024-10-31,1441.19
2024-11-01,1400.01
2024-11-02,1289.28
2024-11-03,1390.22
2024-11-04,1310.58
2024-11-05,1413.22
2024-11-06,1445.44
2024-11-07,1377.2
2024-11-08,1356.51
2024-11-09,1234.33
2024-11-10,1305.71
2024-11-11,1375.85
2024-11-12,1414.82
2024-11-13,1431.41
2024-11-14,1363.7
2024-11-15,1350.39
2024-11-16,1255.83
2024-11-17,1307.93
2024-11-18,1341.9
2024-11-19,1456.39
2024-11-20,1383.45
2024-11-21,1406.63
2024-11-22,1282.51
2024-11-23,1303.62
2024-11-24,1389.4
2024-11-25,1382.86
2024-11-26,1450.56
2024-11-27,1497.5
2024-11-28,1363.02
2024-11-29,1332.79
2024-11-30,1194.41
2024-12-01,1312.78
2024-12-02,1427.61
2024-12-03,1456.35
2024-12-04,1477.73
2024-12-05,1398.95
2024-12-06,1353.42
2024-12-07,1333.04
2024-12-08,1292.35
2024-12-09,1356.33
2024-12-10,1444.38
2024-12-11,1459.49
2024-12-12,1411.29
2024-12-13,1273.75
2024-12-14,1293.43
2024-12-15,1298.08
2024-12-16,1282.27
2024-12-17,1453.42
2024-12-18,1398.64
2024-12-19,1405.59
2024-12-20,1380.86
2024-12-21,1256.02
2024-12-22,1291.46
2024-12-23,1336.03
2024-12-24,1418.95
2024-12-25,1431.98
2024-12-26,1371.9
2024-12-27,1328.09
2024-12-28,1291.86
2024-12-29,1287.94
2024-12-30,1388.16
